# Directed graph: Florida-bay.txt
# Florida bay food web: nodes are compartments (organisms and species) and edges are energy flow
# (edge from i to j means that carbon is transferred from i to j)
# Nodes: 128 Edges: 2106
# Downloaded from: https://snap.stanford.edu/data/Florida-bay.html
# FromNodeId ToNodeId
DOC,Free Bacteria
2um Spherical Phytoplankt,Water Flagellates
Synedococcus,Water Flagellates
Small Diatoms (<20um),Water Flagellates
Free Bacteria,Water Flagellates
Water POC,Water Flagellates
2um Spherical Phytoplankt,Water Cilitaes
Synedococcus,Water Cilitaes
Small Diatoms (<20um),Water Cilitaes
Big Diatoms (>20um),Water Cilitaes
Dinoflagellates,Water Cilitaes
Other Phytoplankton,Water Cilitaes
Free Bacteria,Water Cilitaes
Water Flagellates,Water Cilitaes
Water POC,Water Cilitaes
2um Spherical Phytoplankt,Acartia Tonsa
Synedococcus,Acartia Tonsa
Oscillatoria,Acartia Tonsa
Small Diatoms (<20um),Acartia Tonsa
Big Diatoms (>20um),Acartia Tonsa
Dinoflagellates,Acartia Tonsa
Other Phytoplankton,Acartia Tonsa
Free Bacteria,Acartia Tonsa
Water Flagellates,Acartia Tonsa
Water Cilitaes,Acartia Tonsa
Water POC,Acartia Tonsa
2um Spherical Phytoplankt,Oithona nana
Synedococcus,Oithona nana
Oscillatoria,Oithona nana
Small Diatoms (<20um),Oithona nana
Big Diatoms (>20um),Oithona nana
Dinoflagellates,Oithona nana
Other Phytoplankton,Oithona nana
Free Bacteria,Oithona nana
Water Flagellates,Oithona nana
Water Cilitaes,Oithona nana
Water POC,Oithona nana
2um Spherical Phytoplankt,Paracalanus
Synedococcus,Paracalanus
Oscillatoria,Paracalanus
Small Diatoms (<20um),Paracalanus
Big Diatoms (>20um),Paracalanus
Dinoflagellates,Paracalanus
Other Phytoplankton,Paracalanus
Free Bacteria,Paracalanus
Water Flagellates,Paracalanus
Water Cilitaes,Paracalanus
Water POC,Paracalanus
2um Spherical Phytoplankt,Other Copepoda
Synedococcus,Other Copepoda
Small Diatoms (<20um),Other Copepoda
Free Bacteria,Other Copepoda
Water Flagellates,Other Copepoda
Water POC,Other Copepoda
Dinoflagellates,Meroplankton
Acartia Tonsa,Meroplankton
Oithona nana,Meroplankton
Paracalanus,Meroplankton
Other Copepoda,Meroplankton
Other Zooplankton,Meroplankton
Water POC,Meroplankton
2um Spherical Phytoplankt,Other Zooplankton
Synedococcus,Other Zooplankton
Oscillatoria,Other Zooplankton
Small Diatoms (<20um),Other Zooplankton
Big Diatoms (>20um),Other Zooplankton
Dinoflagellates,Other Zooplankton
Other Phytoplankton,Other Zooplankton
Free Bacteria,Other Zooplankton
Water Flagellates,Other Zooplankton
Water Cilitaes,Other Zooplankton
Water POC,Other Zooplankton
Benthic Phytoplankton,Benthic Flagellates
Benthic POC,Benthic Flagellates
Benthic Phytoplankton,Benthic Ciliates
Benthic Flagellates,Benthic Ciliates
Benthic POC,Benthic Ciliates
Benthic Phytoplankton,Meiofauna
Benthic Flagellates,Meiofauna
Benthic Ciliates,Meiofauna
Benthic POC,Meiofauna
2um Spherical Phytoplankt,Sponges
Synedococcus,Sponges
Small Diatoms (<20um),Sponges
Big Diatoms (>20um),Sponges
Dinoflagellates,Sponges
Other Phytoplankton,Sponges
Free Bacteria,Sponges
Water Flagellates,Sponges
Water Cilitaes,Sponges
Water POC,Sponges
Small Diatoms (<20um),Coral
Big Diatoms (>20um),Coral
Acartia Tonsa,Coral
Oithona nana,Coral
Paracalanus,Coral
Other Copepoda,Coral
Other Zooplankton,Coral
Acartia Tonsa,Other Cnidaridae
Oithona nana,Other Cnidaridae
Paracalanus,Other Cnidaridae
Other Copepoda,Other Cnidaridae
Meroplankton,Other Cnidaridae
Other Zooplankton,Other Cnidaridae
Benthic Crustaceans,Other Cnidaridae
Detritivorous Amphipods,Other Cnidaridae
Herbivorous Amphipods,Other Cnidaridae
Isopods,Other Cnidaridae
Herbivorous Shrimp,Other Cnidaridae
Predatory Shrimp,Other Cnidaridae
Thor Floridanus,Other Cnidaridae
Other Killifish,Other Cnidaridae
Goldspotted killifish,Other Cnidaridae
Blennies,Other Cnidaridae
Clown Goby,Other Cnidaridae
2um Spherical Phytoplankt,Echinoderma
Synedococcus,Echinoderma
Oscillatoria,Echinoderma
Other Phytoplankton,Echinoderma
Benthic Phytoplankton,Echinoderma
Epiphytes,Echinoderma
Acartia Tonsa,Echinoderma
Oithona nana,Echinoderma
Paracalanus,Echinoderma
Other Copepoda,Echinoderma
Other Zooplankton,Echinoderma
Meiofauna,Echinoderma
Sponges,Echinoderma
Other Cnidaridae,Echinoderma
Bivalves,Echinoderma
Detritivorous Gastropods,Echinoderma
Benthic Crustaceans,Echinoderma
Detritivorous Amphipods,Echinoderma
Herbivorous Amphipods,Echinoderma
Isopods,Echinoderma
Benthic POC,Echinoderma
2um Spherical Phytoplankt,Bivalves
Synedococcus,Bivalves
Small Diatoms (<20um),Bivalves
Big Diatoms (>20um),Bivalves
Dinoflagellates,Bivalves
Other Phytoplankton,Bivalves
Free Bacteria,Bivalves
Water Flagellates,Bivalves
Water Cilitaes,Bivalves
Water POC,Bivalves
Synedococcus,Detritivorous Gastropods
Benthic Phytoplankton,Detritivorous Gastropods
Benthic Flagellates,Detritivorous Gastropods
Benthic Ciliates,Detritivorous Gastropods
